aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14804759,lsidyv345a7704,,,,,"a bartholomew fairing, new, new, new: sent from the raised siege before dublin as a preparatory present to the great thanksgiving day. to be communicated onely to independents. [a satirical drama, chiefly in prose.] [electronic resource]","a bartholomew fairing, new, new, new: sent from the raised siege before dublin as a preparatory present to the great thanksgiving day. to be communicated onely to independents.","[a satirical drama, chiefly in prose.]",,,,,,"london, 1649.",1649,london,,play
14804888,lsidyv32d8c13e,"beaumont, francis, 1584-1616.",Francis Beaumont,https://www.wikidata.org/wiki/Q313932,Q313932,"contemporains de shakspeare. beaumont et fletcher. traduits par ernest lafond, avec une notice sur la vie de ces deux poëtes. [four plays.] [electronic resource]",contemporains de shakspeare. beaumont et fletcher.,"traduits par ernest lafond, avec une notice sur la vie de ces deux poëtes. [four plays.]",,"lafond, ernest.","lafond, ernest",,,"paris, 1865.",1865,paris,,play
14804931,lsidyv3513bb34 -- lsidyv2aef5cac,"becket, andrew.",Andrew Becket,https://www.wikidata.org/wiki/Q58480714,Q58480714,dramatic and prose miscellanies. edited by william beattie ... a new edition. [electronic resource],dramatic and prose miscellanies,a new edition.... edited by william beattie,,"beattie, william, m.d.","beattie, william",,,"london : george virtue, 1838.",1838,london,george virtue,play
14804968,lsidyv34936cfa,"beith, william mathie.","beith, william mathie",,,the tragic circle. a play in three acts. [electronic resource],the tragic circle. a play in three acts,,,,,,,"london : digby, long & co., [1892.].",1892,london,digby long & co.,play
14805088,lsidyv3990e8ef,"bennett, george john, of the theatre royal, covent garden.","bennett, george john",,,"the justiza: a tale of arragon. a play, in five acts. [in verse.] [electronic resource]","the justiza: a tale of arragon. a play, in five acts",[in verse.],,,,,,"london : t. c. newby, 1848.",1848,london,t. c. newby,play
14805278,lsidyv3cb9f8a4 -- lsidyv3deb61a3,"biot, édouard constant.",Édouard Biot,https://www.wikidata.org/wiki/Q274233,Q274233,"the cities and towns of china, a geographical dictionary by g. m. h. playfair. [a revised version of biot's “dictionnaire.”] [electronic resource]","the cities and towns of china, a geographical dictionary",by g. m. h. playfair. [a revised version of biot's “dictionnaire.”],,"playfair, george macdonald home.","playfair, george macdonald home",,,"hongkong : noronha & co., 1879.",1879,hongkong,noronha & co.,play
14805453,lsidyv39fb711e,"blake, afterwards gowing, emilia aylmer.","blake, afterwards gowing, emilia aylmer",,,merely players. [electronic resource],merely players,,,,,,,"london : white & co., 1897.",1897,london,white & co.,play
14805460,lsidyv3a3bfb2d,"blake, matilda maria.","blake, matilda maria",,,"courtship by command. a story of napoleon at play, etc. [electronic resource]","courtship by command. a story of napoleon at play, etc.",,,,,,,"london : hutchinson & co., 1895.",1895,london,hutchinson & co.,play
14805615,lsidyv34944b12,"bond, r. warwick (richard warwick), 1857-1943.",Richard Warwick Bond,https://www.wikidata.org/wiki/Q109854173,Q109854173,"zenobia. a drama, in four acts. [electronic resource]","zenobia. a drama, in four acts",,,,,,,"london : elkin mathews, 1899.",1899,london,elkin mathews,play
14805705,lsidyv34feef26,"boucicault, dion, 1820-1890.","boucicault, dion",,,"arrah-na-pogue; arrah-of-the-kiss. or, the wicklow wedding. [a tale. by henry llewellyn williams.] founded on the same incidents as the celebrated drama by dion bourcicault, etc. [electronic resource]","arrah-na-pogue; arrah-of-the-kiss. or, the wicklow wedding","[a tale. by henry llewellyn williams.] founded on the same incidents as the celebrated drama by dion bourcicault, etc.",,"williams, henry llewellyn.","williams, henry llewellyn",,,"new york : r. m. de witt, [1865.].",1865,new york,r. m. de witt,play
14805756,lsidyv35021433,"bowman, anne, 19th cent.",Anne Bowman,https://www.wikidata.org/wiki/Q55993146,Q55993146,"acting charades and proverbs arranged for representation in the drawing-room. by a. bowman and other writers. [containing “charade dramas for the drawing-room” by a. bowman, and other matter.] [electronic resource]",acting charades and proverbs arranged for representation in the drawing-room. by a. bowman and other writers,"[containing “charade dramas for the drawing-room” by a. bowman, and other matter.]",,,,,,"london : g. routledge & sons, 1891.",1891,london,g. routledge & sons,play
14805895,lsidyv39916b81,"brayshay, james.","brayshay, james",,,"the protector at houghall; or, the lily and the rose. an original drama, in four acts, etc. [in prose and verse.] [electronic resource]","the protector at houghall; or, the lily and the rose. an original drama, in four acts, etc.",[in prose and verse.],,,,,,"london : groombridge & sons, 1851.",1851,london,groombridge & sons,play
14805915,lsidyv349cd754,"breton, eliab.",Eliab Breton,https://www.wikidata.org/wiki/Q75283216,Q75283216,"geraldine, a dramatic poem, in five acts. [in verse.] [electronic resource]","geraldine, a dramatic poem, in five acts",[in verse.],,,,,,"london : sherwood, gilbert & piper, 1827.",1827,london,sherwood gilbert & piper,play
14805938,lsidyv349385ba,"bridge, arthur.","bridge, arthur",,,"roundheads and cavaliers; or, the pretty puritan. a drama. [in verse.] [electronic resource]","roundheads and cavaliers; or, the pretty puritan. a drama",[in verse.],,,,,,"london : g. bell & sons, 1894.",1894,london,g. bell & sons,play
